season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,betonlineag,spread,2025-08-23T04:00:39+00:00,2025-08-23T16:20:39+00:00,-3.0,-116.0,-104.0,-3.0,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,betonlineag,total,2025-08-23T04:00:39+00:00,2025-08-23T16:20:39+00:00,51.0,,,51.5,,,-108.0,-112.0,-115.0,-105.0,,
2025,1,regular,fbs,401756846,Kansas State,Iowa State,2025-08-23T16:00:00+00:00,betonlineag,moneyline,2025-08-23T04:00:39+00:00,2025-08-23T16:20:39+00:00,,-170.0,149.0,,-147.0,127.0,,,,,,
2025,1,regular,fbs,401760371,UNLV,Idaho State,2025-08-23T20:00:00+00:00,betonlineag,spread,2025-08-23T08:00:40+00:00,2025-08-23T20:10:39+00:00,-30.0,-120.0,-110.0,-30.5,-130.0,100.0,,,,,,
2025,1,regular,fbs,401760371,UNLV,Idaho State,2025-08-23T20:00:00+00:00,betonlineag,total,2025-08-23T08:00:40+00:00,2025-08-23T20:10:39+00:00,66.5,,,68.0,,,-105.0,-125.0,-115.0,-115.0,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,betonlineag,spread,2025-08-23T10:30:39+00:00,2025-08-23T22:50:39+00:00,-13.5,-114.0,-106.0,-13.5,-119.0,-101.0,,,,,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,betonlineag,total,2025-08-23T10:30:39+00:00,2025-08-23T22:50:39+00:00,50.5,,,50.0,,,-110.0,-110.0,-113.0,-107.0,,
2025,1,regular,fbs,401756847,Kansas,Fresno State,2025-08-23T22:30:00+00:00,betonlineag,moneyline,2025-08-23T10:30:39+00:00,2025-08-23T22:50:39+00:00,,-550.0,415.0,,-570.0,428.0,,,,,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,betonlineag,spread,2025-08-23T11:00:39+00:00,2025-08-23T23:15:39+00:00,-10.0,-108.0,-112.0,-10.0,-104.0,-116.0,,,,,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,betonlineag,total,2025-08-23T11:00:39+00:00,2025-08-23T23:15:39+00:00,60.5,,,59.0,,,-115.0,-105.0,-114.0,-106.0,,
2025,1,regular,fbs,401757218,Western Kentucky,Sam Houston,2025-08-23T23:00:00+00:00,betonlineag,moneyline,2025-08-23T11:00:39+00:00,2025-08-23T23:15:39+00:00,,-370.0,296.0,,-350.0,280.0,,,,,,
