season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2024,9,regular,fbs,401640984,Florida International,Sam Houston,2024-10-22T23:30:00+00:00,fanduel,spread,2024-10-22T20:30:39+00:00,2024-10-22T23:55:39+00:00,5.5,-108.0,-112.0,6.5,-113.0,-115.0,,,,
2024,9,regular,fbs,401640984,Florida International,Sam Houston,2024-10-22T23:30:00+00:00,fanduel,total,2024-10-22T20:30:39+00:00,2024-10-22T23:55:39+00:00,46.5,,,40.5,,,-112.0,-108.0,-115.0,-113.0
2024,9,regular,fbs,401641011,Louisiana Tech,UTEP,2024-10-23T00:00:00+00:00,fanduel,spread,2024-10-22T21:00:39+00:00,2024-10-23T00:25:39+00:00,-6.5,-120.0,-102.0,-2.5,-108.0,-120.0,,,,
2024,9,regular,fbs,401641011,Louisiana Tech,UTEP,2024-10-23T00:00:00+00:00,fanduel,total,2024-10-22T21:00:39+00:00,2024-10-23T00:25:39+00:00,48.5,,,53.5,,,-115.0,-105.0,100.0,-130.0
2024,9,regular,fbs,401640993,Kennesaw State,Liberty,2024-10-23T23:00:00+00:00,fanduel,spread,2024-10-23T20:00:39+00:00,2024-10-23T20:50:39+00:00,25.5,-105.0,-115.0,25.5,-105.0,-115.0,,,,
2024,9,regular,fbs,401640993,Kennesaw State,Liberty,2024-10-23T23:00:00+00:00,fanduel,total,2024-10-23T20:00:39+00:00,2024-10-23T20:50:39+00:00,47.5,,,47.5,,,-105.0,-115.0,-105.0,-115.0
2024,9,regular,fbs,401641003,Jacksonville State,Middle Tennessee,2024-10-23T23:30:00+00:00,fanduel,spread,2024-10-23T20:30:39+00:00,2024-10-23T20:50:39+00:00,-20.5,-114.0,-106.0,-20.5,-114.0,-106.0,,,,
2024,9,regular,fbs,401641003,Jacksonville State,Middle Tennessee,2024-10-23T23:30:00+00:00,fanduel,total,2024-10-23T20:30:39+00:00,2024-10-23T20:50:39+00:00,63.5,,,63.5,,,-115.0,-105.0,-115.0,-105.0
2024,9,regular,fbs,401643815,Old Dominion,Georgia Southern,2024-10-24T23:00:00+00:00,fanduel,spread,2024-10-24T20:00:39+00:00,2024-10-24T23:25:39+00:00,1.5,-118.0,-104.0,-3.5,-113.0,-115.0,,,,
2024,9,regular,fbs,401643815,Old Dominion,Georgia Southern,2024-10-24T23:00:00+00:00,fanduel,total,2024-10-24T20:00:39+00:00,2024-10-24T23:25:39+00:00,52.5,,,52.5,,,-110.0,-110.0,-110.0,-118.0
2024,9,regular,fbs,401634770,Pittsburgh,Syracuse,2024-10-24T23:30:00+00:00,fanduel,spread,2024-10-24T20:30:39+00:00,2024-10-24T23:55:39+00:00,-5.5,-110.0,-110.0,-10.5,-130.0,100.0,,,,
2024,9,regular,fbs,401634770,Pittsburgh,Syracuse,2024-10-24T23:30:00+00:00,fanduel,total,2024-10-24T20:30:39+00:00,2024-10-24T23:55:39+00:00,62.5,,,65.5,,,-110.0,-110.0,-113.0,-115.0
2024,9,regular,fbs,401634771,Boston College,Louisville,2024-10-25T23:30:00+00:00,fanduel,spread,2024-10-25T20:30:39+00:00,2024-10-25T23:55:39+00:00,7.5,-120.0,-102.0,6.5,-114.0,-114.0,,,,
2024,9,regular,fbs,401634771,Boston College,Louisville,2024-10-25T23:30:00+00:00,fanduel,total,2024-10-25T20:30:39+00:00,2024-10-25T23:55:39+00:00,53.5,,,48.5,,,-110.0,-110.0,-104.0,-122.0
2024,9,regular,fbs,401643740,UNLV,Boise State,2024-10-26T02:30:00+00:00,fanduel,spread,2024-10-25T23:30:39+00:00,2024-10-26T02:55:39+00:00,4.5,-118.0,-104.0,2.5,-115.0,-113.0,,,,
2024,9,regular,fbs,401643740,UNLV,Boise State,2024-10-26T02:30:00+00:00,fanduel,total,2024-10-25T23:30:39+00:00,2024-10-26T02:55:39+00:00,63.5,,,62.5,,,-110.0,-110.0,-115.0,-113.0
2024,9,regular,fbs,401628532,USC,Rutgers,2024-10-26T03:00:00+00:00,fanduel,spread,2024-10-26T00:00:39+00:00,2024-10-26T03:25:39+00:00,-14.5,-102.0,-120.0,-17.5,-106.0,-122.0,,,,
2024,9,regular,fbs,401628532,USC,Rutgers,2024-10-26T03:00:00+00:00,fanduel,total,2024-10-26T00:00:39+00:00,2024-10-26T03:25:39+00:00,56.5,,,55.5,,,-110.0,-110.0,-115.0,-113.0
2024,9,regular,fbs,401645354,North Texas,Tulane,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,7.5,-105.0,-115.0,7.5,-102.0,-128.0,,,,
2024,9,regular,fbs,401645354,North Texas,Tulane,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,69.5,,,71.5,,,-115.0,-105.0,-104.0,-125.0
2024,9,regular,fbs,401635598,Virginia,North Carolina,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,-3.5,-105.0,-115.0,-5.5,-128.0,-102.0,,,,
2024,9,regular,fbs,401635598,Virginia,North Carolina,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,58.5,,,55.5,,,-105.0,-115.0,-114.0,-114.0
2024,9,regular,fbs,401644755,Ohio,Buffalo,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,-6.5,-105.0,-115.0,-6.5,-118.0,-110.0,,,,
2024,9,regular,fbs,401644755,Ohio,Buffalo,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,45.5,,,40.5,,,-110.0,-110.0,-115.0,-113.0
2024,9,regular,fbs,401645353,Memphis,Charlotte,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,-17.5,-110.0,-110.0,-5.5,-114.0,-114.0,,,,
2024,9,regular,fbs,401645353,Memphis,Charlotte,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,57.5,,,55.5,,,-110.0,-110.0,-114.0,-114.0
2024,9,regular,fbs,401628530,Ohio State,Nebraska,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,-25.5,-110.0,-110.0,-22.5,-118.0,-110.0,,,,
2024,9,regular,fbs,401628530,Ohio State,Nebraska,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,48.5,,,45.5,,,-110.0,-110.0,-110.0,-118.0
2024,9,regular,fbs,401628983,Navy,Notre Dame,2024-10-26T16:00:00+00:00,fanduel,spread,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,13.5,-102.0,-120.0,18.5,-120.0,-108.0,,,,
2024,9,regular,fbs,401628983,Navy,Notre Dame,2024-10-26T16:00:00+00:00,fanduel,total,2024-10-26T13:00:39+00:00,2024-10-26T16:25:38+00:00,50.5,,,51.5,,,-115.0,-105.0,-106.0,-122.0
